url_path,views_total,views_unique
/HowHowTech/OralMotorExercises,67,2
/HowHowTech/OralMotorExercises/upload/main,26,1
/HowHowTech/OralMotorExercises/upload,24,1
/HowHowTech/OralMotorExercises/actions/workflows/github-repo-stats.yml,21,1
/HowHowTech/OralMotorExercises/actions,18,1
/HowHowTech/OralMotorExercises/graphs/traffic,10,1
/HowHowTech/OralMotorExercises/pulse,7,1
/HowHowTech/OralMotorExercises/tree/main/.github/workflows,7,1
/HowHowTech/OralMotorExercises/actions/runs/4633780977,6,1
/HowHowTech/OralMotorExercises/blob/main/.github/workflows/github-repo-stats.yml,6,1
