url_path,views_total,views_unique
/HowHowTech/OralMotorExercises,79,2
/HowHowTech/OralMotorExercises/upload/main,26,1
/HowHowTech/OralMotorExercises/upload,24,1
/HowHowTech/OralMotorExercises/actions/workflows/github-repo-stats.yml,22,1
/HowHowTech/OralMotorExercises/actions,21,1
/HowHowTech/OralMotorExercises/graphs/traffic,10,1
/HowHowTech/OralMotorExercises/tree/github-repo-stats,8,1
/HowHowTech/OralMotorExercises/tree/main/.github/workflows,8,1
/HowHowTech/OralMotorExercises/blob/main/.github/workflows/github-repo-stats.yml,7,1
/HowHowTech/OralMotorExercises/pulse,7,1
