url_path,views_total,views_unique
/HowHowTech/OralMotorExercises/actions/workflows/github-repo-stats.yml,24,2
/HowHowTech/OralMotorExercises/tree/github-repo-stats,24,2
/HowHowTech/OralMotorExercises/actions,21,2
/HowHowTech/OralMotorExercises,18,2
/HowHowTech/OralMotorExercises/actions/runs/4726702132/jobs/8386548775,9,2
/HowHowTech/OralMotorExercises/blob/github-repo-stats/.github/workflows/github-repo-stats.yml,9,1
/HowHowTech/OralMotorExercises/actions/runs/4683709455/jobs/8299086259,8,1
/HowHowTech/OralMotorExercises/tree/github-repo-stats/.github/workflows,8,1
/HowHowTech/OralMotorExercises/actions/workflows/pages/pages-build-deployment,7,2
/HowHowTech/OralMotorExercises/tree/github-repo-stats/HowHowTech/OralMotorExercises,7,2
