url_path,views_total,views_unique
/HowHowTech/OralMotorExercises/actions/runs/4769513968/jobs/8479945354,8,2
/HowHowTech/OralMotorExercises/actions/workflows/github-repo-stats.yml,6,2
/HowHowTech/OralMotorExercises/tree/github-repo-stats/HowHowTech/OralMotorExercises,6,2
/HowHowTech/OralMotorExercises,5,2
/HowHowTech/OralMotorExercises/tree/github-repo-stats,5,2
/HowHowTech/OralMotorExercises/actions,3,2
/HowHowTech/OralMotorExercises/actions/workflows/pages/pages-build-deployment,2,2
/HowHowTech/OralMotorExercises/actions/runs/4769513968,2,1
/HowHowTech/OralMotorExercises/actions/runs/4846847832,1,1
/HowHowTech/OralMotorExercises/actions/runs/4846847832/jobs/8636624429,1,1
