url_path,views_total,views_unique
/HowHowTech/OralMotorExercises,82,2
/HowHowTech/OralMotorExercises/actions/workflows/github-repo-stats.yml,28,1
/HowHowTech/OralMotorExercises/actions,27,1
/HowHowTech/OralMotorExercises/upload/main,26,1
/HowHowTech/OralMotorExercises/upload,24,1
/HowHowTech/OralMotorExercises/tree/github-repo-stats,12,1
/HowHowTech/OralMotorExercises/graphs/traffic,10,1
/HowHowTech/OralMotorExercises/tree/main/.github/workflows,9,1
/HowHowTech/OralMotorExercises/blob/main/.github/workflows/github-repo-stats.yml,8,1
/HowHowTech/OralMotorExercises/pulse,7,1
